old,valid,name
48,48,Alberta
4800000,4800000,"Not Stated, Alberta"
4801003,4801003,Cypress County
4801004,4801003,Cypress County
4801006,4801006,Medicine Hat
4801008,4801008,Forty Mile County No. 8
4801009,4801009,Foremost
4801012,4801008,Forty Mile County No. 8
4801014,4801014,Bow Island
4801018,4801018,Redcliff
4802001,4802001,Warner County No. 5
4802002,4802002,Coutts
4802004,4802004,Milk River
4802006,4802006,Warner
4802008,4802008,Raymond
4802009,4802009,Stirling
4802011,4802011,Lethbridge County
4802012,4802012,Lethbridge
4802013,4802013,Coalhurst
4802014,4802014,Nobleford
4802016,4802016,Barons
4802018,4802018,Picture Butte
4802019,4802019,Coaldale
4802021,4802021,"Taber, M.D."
4802022,4802022,Taber
4802023,4802023,Barnwell
4802024,4802021,"Taber, M.D."
4802029,4802029,Vauxhall
4802031,4802031,Newell County
4802032,4802031,Newell County
4802034,4802034,Brooks
4802036,4802036,Duchess
4802038,4802038,Rosemary
4802039,4802039,Bassano
4803001,4803001,Cardston County
4803002,4803002,Magrath
4803003,4803003,Improvement District No.  4 Waterton
4803004,4803004,Cardston
4803006,4803006,Glenwood
4803008,4803008,Hill Spring
4803011,4803011,Pincher Creek No. 9
4803014,4803014,Pincher Creek
4803016,4803016,Cowley
4803018,4803018,Willow Creek No. 26
4803019,4803019,Fort Macleod
4803021,4803021,Granum
4803022,4803022,Claresholm
4803024,4803024,Stavely
4803026,4803026,Nanton
4803801,4803801,Piikani 147
4803802,4803802,Blood 148
4803803,4803803,Blood 148A
4804001,4804001,Acadia No. 34
4804004,4804004,Special Area No. 2
4804006,4804006,Empress
4804011,4804011,Hanna
4804012,4804012,Special Area No. 3
4804014,4804014,Oyen
4804016,4804016,Cereal
4804019,4804019,Youngstown
4804020,4804020,Special Area No. 4
4804021,4804021,Veteran
4804022,4804022,Consort
4805001,4805001,Vulcan County
4805002,4805002,Carmangay
4805004,4805004,Champion
4805006,4805006,Vulcan
4805008,4805008,Lomond
4805009,4805009,Milo
4805011,4805011,Arrowwood
4805012,4805012,Wheatland County
4805014,4805012,Wheatland County
4805016,4805012,Wheatland County
4805018,4805018,Strathmore
4805019,4805019,Hussar
4805021,4805021,Standard
4805022,4805022,Rockyford
4805024,4805026,Drumheller
4805026,4805026,Drumheller
4805029,4805026,Drumheller
4805031,4805031,Starland County
4805034,4805034,Delia
4805036,4805036,Munson
4805038,4805038,Morrin
4805039,4805031,Starland County
4805041,4805041,Kneehill County
4805042,4805042,Carbon
4805044,4805044,Acme
4805046,4805046,Linden
4805048,4805048,Three Hills
4805049,4805049,Trochu
4805802,4805802,Siksika 146
4806001,4806001,Foothills No. 31
4806004,4806001,Foothills No. 31
4806006,4806006,High River
4806008,4806008,Longview
4806009,4806009,Turner Valley
4806011,4806011,Black Diamond
4806012,4806012,Okotoks
4806014,4806014,Rocky View County
4806016,4806016,Calgary
4806017,4806017,Chestermere
4806019,4806019,Cochrane
4806021,4806021,Airdrie
4806022,4806022,Irricana
4806024,4806024,Beiseker
4806026,4806026,Crossfield
4806028,4806028,Mountain View County
4806029,4806029,Carstairs
4806031,4806031,Cremona
4806032,4806032,Didsbury
4806034,4806034,Olds
4806036,4806036,Sundre
4806803,4806803,Eden Valley 216
4806804,4806804,Tsuu T'ina Nation 145 (Sarcee 145)
4807001,4807001,Provost No. 52
4807002,4807002,Provost
4807004,4807004,Czar
4807006,4807006,Hughenden
4807008,4807008,Amisk
4807011,4807011,Paintearth County No. 18
4807012,4807012,Coronation
4807014,4807014,Castor
4807016,4807016,Halkirk
4807019,4807019,Stettler County No. 6
4807021,4807021,Big Valley
4807022,4807022,Gadsby
4807024,4807024,Botha
4807026,4807026,Stettler
4807027,4807027,White Sands
4807028,4807028,Rochon Sands
4807029,4807029,Donalda
4807031,4807031,Flagstaff County
4807032,4807032,Alliance
4807034,4807031,Flagstaff County
4807036,4807036,Forestburg
4807038,4807038,Heisler
4807039,4807039,Daysland
4807041,4807031,Flagstaff County
4807042,4807042,Killam
4807044,4807044,Sedgewick
4807046,4807046,Lougheed
4807048,4807048,Hardisty
4807049,4807049,Wainwright No. 61
4807051,4807051,Chauvin
4807052,4807052,Edgerton
4807054,4807054,Wainwright
4807056,4807056,Irma
4808001,4808001,Red Deer County
4808002,4808002,Elnora
4808004,4808004,Delburne
4808005,4808005,Jarvis Bay
4808006,4808006,Bowden
4808008,4808008,Innisfail
4808009,4808009,Penhold
4808011,4808011,Red Deer
4808012,4808012,Sylvan Lake
4808013,4808013,Norglenwold
4808022,4808022,Lacombe County
4808023,4808023,Birchcliff
4808024,4808024,Eckville
4808025,4808025,Half Moon Bay
4808026,4808026,Bentley
4808027,4808027,Sunbreaker Cove
4808028,4808028,Gull Lake
4808029,4808029,Blackfalds
4808031,4808031,Lacombe
4808032,4808032,Clive
4808034,4808034,Alix
4808036,4808022,Lacombe County
4808038,4808038,Ponoka County
4808039,4808039,Ponoka
4808042,4808042,Parkland Beach
4808044,4808044,Rimbey
4808811,4808811,Samson 137
4808812,4808812,Samson 137A
4808813,4808813,Montana 139
4809002,4809002,Clearwater County
4809005,4809005,Burnstick Lake
4809010,4809010,Caroline
4809015,4809015,Rocky Mountain House
4809806,4809806,O'Chiese 203
4809809,4809809,Sunchild 202
4809810,4809810,Big Horn 144A
4810001,4810001,Camrose County
4810002,4810002,Bashaw
4810003,4810003,Rosalind
4810004,4810004,Ferintosh
4810006,4810006,Edberg
4810008,4810001,Camrose County
4810009,4810009,Bawlf
4810011,4810011,Camrose
4810012,4810012,Bittern Lake
4810014,4810014,Hay Lakes
4810016,4810016,Beaver County
4810018,4810018,Tofield
4810019,4810019,Ryley
4810021,4810021,Holden
4810022,4810022,Viking
4810026,4810026,Minburn County No. 27
4810028,4810028,Vegreville
4810031,4810031,Innisfree
4810032,4810026,Minburn County No. 27
4810034,4810034,Mannville
4810036,4810036,Vermilion River County
4810038,4810038,Paradise Valley
4810039,4810039,Lloydminster (Part)
4810041,4810041,Kitscoty
4810042,4810042,Vermilion
4810044,4810044,Marwayne
4810046,4810046,Dewberry
4810048,4810048,Two Hills County No. 21
4810049,4810048,Two Hills County No. 21
4810051,4810051,Myrnam
4810052,4810052,Two Hills
4810054,4810048,Two Hills County No. 21
4810056,4810056,Willingdon
4810058,4810058,Lamont County
4810059,4810059,Andrew
4810061,4810061,Mundare
4810062,4810062,Chipman
4810064,4810064,Lamont
4810066,4810066,Bruderheim
4810068,4810068,Improvement District No. 13 Elk Island
4810805,4810805,Makaoo (Part) 120
4811001,4811001,Wetaskiwin County No. 10
4811002,4811002,Wetaskiwin
4811003,4811003,Argentia Beach
4811004,4811004,Grandview
4811005,4811005,Poplar Bay
4811006,4811006,Crystal Springs
4811007,4811007,Norris Beach
4811008,4811008,Ma-Me-O Beach
4811009,4811009,Silver Beach
4811011,4811011,Millet
4811012,4811012,Leduc County
4811013,4811013,Beaumont
4811014,4811012,Leduc County
4811016,4811016,Leduc
4811018,4811018,Devon
4811019,4811019,Calmar
4811020,4811020,Sundance Beach
4811021,4811021,Thorsby
4811022,4811022,Itaska Beach
4811023,4811023,Golden Days
4811024,4811024,Warburg
4811026,4811026,Breton
4811031,4811031,Drayton Valley
4811032,4811032,Brazeau County
4811034,4811034,Parkland County
4811036,4811034,Parkland County
4811038,4811038,Seba Beach
4811039,4811039,Betula Beach
4811041,4811041,Point Alison
4811042,4811042,Lakeview
4811044,4811044,Kapasiwin
4811045,4811045,Wabamun
4811046,4811046,Spring Lake
4811048,4811048,Stony Plain
4811049,4811049,Spruce Grove
4811052,4811052,Strathcona County
4811056,4811056,Fort Saskatchewan
4811059,4811059,Sturgeon County
4811061,4811061,Edmonton
4811062,4811062,St. Albert
4811064,4811064,Gibbons
4811065,4811065,Redwater
4811066,4811066,Bon Accord
4811068,4811068,Morinville
4811069,4811069,Legal
4811801,4811801,Ermineskin 138
4811802,4811802,Pigeon Lake 138A
4811803,4811803,Louis Bull 138B
4811804,4811804,Stony Plain 135
4811805,4811805,Alexander 134
4811806,4811806,Wabamun 133A
4811807,4811807,Wabamun 133B
4812002,4812002,Cold Lake
4812004,4812004,Bonnyville No. 87
4812005,4812037,Lac la Biche County
4812006,4812002,Cold Lake
4812008,4812002,Cold Lake
4812009,4812009,Bonnyville
4812011,4812011,Bonnyville Beach
4812012,4812012,Glendon
4812013,4812013,Pelican Narrows
4812014,4812014,St. Paul County No. 19
4812016,4812016,Elk Point
4812018,4812018,St. Paul
4812020,4812020,Horseshoe Bay
4812022,4812022,Smoky Lake County
4812024,4812024,Vilna
4812026,4812026,Waskatenau
4812028,4812022,Smoky Lake County
4812029,4812029,Smoky Lake
4812035,4812037,Lac la Biche County
4812037,4812037,Lac la Biche County
4812038,4812038,Improvement District No. 349
4812040,4812037,Lac la Biche County
4812802,4812802,Unipouheos 121
4812804,4812804,Puskiakiwenin 122
4812806,4812806,Saddle Lake 125
4812808,4812808,White Fish Lake 128
4812810,4812810,Cold Lake 149
4812811,4812811,Kehewin 123
4812813,4812813,Cold Lake 149A
4812815,4812815,Cold Lake 149B
4812828,4812828,Beaver Lake 131
4812840,4812840,Heart Lake 167
4813001,4813001,Lac Ste. Anne County
4813002,4813002,Mayerthorpe
4813003,4813003,Nakamun Park
4813004,4813001,Lac Ste. Anne County
4813005,4813005,Val Quentin
4813006,4813006,West Cove
4813007,4813007,Yellowstone
4813008,4813008,Ross Haven
4813009,4813009,Castle Island
4813010,4813010,Silver Sands
4813011,4813011,Sunset Point
4813012,4813012,Alberta Beach
4813013,4813013,Birch Cove
4813014,4813014,Onoway
4813015,4813015,South View
4813016,4813016,Sandy Beach
4813017,4813017,Sunrise Beach
4813018,4813018,Barrhead County No. 11
4813019,4813019,Barrhead
4813026,4813029,Woodlands County
4813028,4813028,Westlock County
4813029,4813029,Woodlands County
4813030,4813030,Whitecourt
4813031,4813031,Westlock
4813032,4813032,Clyde
4813033,4813033,Larkspur
4813036,4813036,Thorhild County
4813039,4813036,Thorhild County
4813042,4813036,Thorhild County
4813044,4813044,Athabasca County
4813045,4813045,Mewatha Beach
4813046,4813046,Boyle
4813047,4813047,Sunset Beach
4813048,4813048,Athabasca
4813049,4813049,Island Lake
4813051,4813051,Island Lake South
4813053,4813053,Bondiss
4813055,4813055,South Baptiste
4813057,4813057,West Baptiste
4813059,4813044,Athabasca County
4813061,4813061,Whispering Hills
4813811,4813811,Alexis 133
4814002,4814003,Yellowhead County
4814003,4814003,Yellowhead County
4814019,4814019,Hinton
4814024,4814024,Edson
4814028,4814028,Improvement District No. 25 Willmore Wilderness
4815001,4811032,Brazeau County
4815003,4815045,Ranchland No. 66
4815007,4815007,Crowsnest Pass
4815013,4815013,Kananaskis
4815015,4815015,Bighorn No. 8
4815023,4815023,Canmore
4815027,4815027,Ghost Lake
4815030,4815030,Waiparous
4815032,4815032,Improvement District No.  9 Banff
4815033,4815033,Jasper
4815035,4815035,Banff
4815037,4815037,Improvement District No. 12 Jasper Park
4815045,4815045,Ranchland No. 66
4815802,4815802,"Stoney 142, 143, 144"
4816030,4812037,Lac la Biche County
4816037,4816037,Wood Buffalo
4816048,4816037,Wood Buffalo
4816051,4816051,Improvement District No. 24 Wood Buffalo
4816817,4816817,Janvier 194
4816821,4816821,Gregoire Lake 176
4816822,4816822,Gregoire Lake 176A
4816823,4816037,Wood Buffalo
4816825,4816037,Wood Buffalo
4816828,4816037,Wood Buffalo
4816831,4816831,Chipewyan 201A
4816834,4816037,Wood Buffalo
4816837,4816037,Wood Buffalo
4816840,4816037,Wood Buffalo
4816843,4816037,Wood Buffalo
4816845,4816037,Wood Buffalo
4816848,4816037,Wood Buffalo
4816849,4816849,Old Fort 217
4816850,4816850,Allison Bay 219
4816851,4816037,Wood Buffalo
4816852,4816852,Dog Head 218
4816853,4816037,Wood Buffalo
4816854,4816037,Wood Buffalo
4816855,4816037,Wood Buffalo
4816856,4816037,Wood Buffalo
4816857,4816037,Wood Buffalo
4816858,4816037,Wood Buffalo
4816859,4816859,Fort Mackay
4816860,4816860,Thebathi 196
4816861,4816861,Thabacha Náre 196A
4817021,4817021,High Prairie
4817024,4817024,Swan Hills
4817025,4817031,Opportunity No. 17
4817026,4817026,Northern Sunrise County
4817027,4817027,Big Lakes County
4817028,4817027,Big Lakes County
4817029,4817029,Slave Lake
4817031,4817031,Opportunity No. 17
4817033,4817033,Lesser Slave River No.124
4817039,4817039,Nampa
4817062,4817062,Clear Hills
4817064,4817064,Hines Creek
4817076,4817076,Northern Lights County
4817078,4817078,Manning
4817093,4817093,High Level
4817095,4817095,Mackenzie County
4817097,4817097,Rainbow Lake
4817817,4817817,Jean Baptiste Gambler 183
4817818,4817818,Wabasca 166
4817819,4817819,Wabasca 166A
4817821,4817821,Wabasca 166B
4817822,4817822,Wabasca 166C
4817823,4817823,Wabasca 166D
4817824,4817824,Utikoomak Lake 155
4817825,4817825,Clear Hills 152C
4817827,4817827,Utikoomak Lake 155A
4817828,4817828,Drift Pile River 150
4817829,4817829,Sucker Creek 150A
4817830,4817830,Kapawe'no First Nation (Pakashan 150D)
4817831,4817831,Swan River 150E
4817832,4817832,Sawridge 150G
4817833,4817833,Sawridge 150H
4817835,4817835,Fox Lake 162
4817836,4817836,Kapawe'no First Nation (Freeman 150B)
4817837,4817837,John d'Or Prairie 215
4817838,4817838,Tall Cree 173
4817840,4817840,Tall Cree 173A
4817841,4817841,Beaver Ranch 163
4817842,4817842,Boyer 164
4817843,4817843,Child Lake 164A
4817845,4817845,Hay Lake 209
4817848,4817848,Bushe River 207
4817849,4817849,Upper Hay River 212
4817852,4817027,Big Lakes County
4817853,4817026,Northern Sunrise County
4817854,4817076,Northern Lights County
4817855,4817031,Opportunity No. 17
4817856,4817856,Woodland Cree 226
4817857,4817857,Woodland Cree 228
4817858,4817027,Big Lakes County
4817859,4817859,Fort Vermilion 173B
4817860,4817860,Loon Lake 235
4818002,4818002,Fox Creek
4818005,4818005,Grande Cache
4818015,4818015,Greenview No. 16
4818018,4818018,Valleyview
4818816,4818816,Sturgeon Lake 154
4818818,4818818,Sturgeon Lake 154A
4819006,4819006,Grande Prairie County No. 1
4819008,4819008,Hythe
4819009,4819009,Beaverlodge
4819011,4819011,Wembley
4819012,4819012,Grande Prairie
4819014,4819014,Sexsmith
4819038,4819038,Peace River
4819041,4819041,Smoky River No. 130
4819042,4819042,McLennan
4819044,4819044,Donnelly
4819046,4819046,Falher
4819048,4819048,Girouxville
4819049,4819049,Birch Hills County
4819052,4819049,Birch Hills County
4819054,4819054,Spirit River No. 133
4819056,4819056,Rycroft
4819058,4819058,Spirit River
4819059,4819059,Saddle Hills County
4819066,4819066,Fairview No. 136
4819068,4819068,Fairview
4819071,4819071,Peace No. 135
4819072,4819072,Berwyn
4819074,4819074,Grimshaw
4819815,4819815,Horse Lakes 152B
4819826,4819826,Duncan's 151A
